epoch,train_loss,val_loss,train_acc,test_acc
271,0.0008673229401938907,0.2274802154675126,99.998,94.88
272,0.0009151779464036619,0.23054038904607296,99.996,94.77
273,0.0008617869457234438,0.23190062403678893,99.998,94.72
274,0.0008213587583775413,0.23075005888938904,99.998,94.81
275,0.0008927432166406816,0.22857492979615926,99.998,94.79
276,0.0010225714439355894,0.23034106899052859,99.992,94.82
277,0.0009182941270633386,0.22812144823372363,99.996,94.81
278,0.0009248746204195315,0.23400707341730595,99.996,94.72
279,0.0008599950603413088,0.2293940842151642,99.998,94.86
280,0.0008604732232497019,0.2291507475078106,100.0,94.77
281,0.0008860589725949714,0.22826739389449358,99.998,94.82
282,0.0009033234819815711,0.2292439964041114,99.996,94.75
283,0.0008856446520649278,0.23163654170930387,99.996,94.78
284,0.0008236302052150525,0.2291444419324398,100.0,94.85
285,0.0008577732338785621,0.22940478257834912,99.998,94.8
286,0.0009217780192687517,0.23045736707746983,99.996,94.79
287,0.000908217325870929,0.23129442516714335,100.0,94.83
288,0.0009206155383483926,0.22796414587646724,100.0,94.83
289,0.000784753299912389,0.22943063832819463,100.0,94.87
290,0.0008563110120872886,0.23129950780421496,99.998,94.81
291,0.0008767131408450225,0.23059844475239516,99.998,94.81
292,0.0008211092945412182,0.22752691473811865,99.998,94.81
293,0.0009153320956604539,0.23123090364038945,99.996,94.82
294,0.0008519266023533716,0.22950592506676912,99.996,94.79
295,0.0008980071547565043,0.23177161369472743,99.998,94.76
296,0.0009995471660668254,0.22699307072907687,99.994,94.86
297,0.0009389895907602609,0.23009932205080985,99.99,94.83
298,0.0009006441366793873,0.2287836615741253,99.994,94.84
299,0.0009160499597076074,0.2293245455250144,99.994,94.79
